timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704697218674,667,resultValidation,200,OK,Thread Group 1-4,text,true,,299,249,9,9,https://testapi.logiqids.com/v1/user/result/login/validation/,666,0,597
1704697218573,772,resultValidation,200,OK,Thread Group 1-2,text,true,,299,249,9,9,https://testapi.logiqids.com/v1/user/result/login/validation/,772,0,703
1704697218793,556,resultValidation,200,OK,Thread Group 1-5,text,true,,299,249,9,9,https://testapi.logiqids.com/v1/user/result/login/validation/,556,0,483
1704697218913,465,resultValidation,200,OK,Thread Group 1-6,text,true,,299,249,10,10,https://testapi.logiqids.com/v1/user/result/login/validation/,465,0,360
1704697218570,820,resultValidation,200,OK,Thread Group 1-3,text,true,,299,249,10,10,https://testapi.logiqids.com/v1/user/result/login/validation/,820,0,704
1704697219022,373,resultValidation,200,OK,Thread Group 1-7,text,true,,299,249,10,10,https://testapi.logiqids.com/v1/user/result/login/validation/,373,0,251
1704697218571,844,resultValidation,200,OK,Thread Group 1-1,text,true,,299,249,10,10,https://testapi.logiqids.com/v1/user/result/login/validation/,844,0,720
1704697219146,284,resultValidation,200,OK,Thread Group 1-8,text,true,,299,249,10,10,https://testapi.logiqids.com/v1/user/result/login/validation/,284,0,126
1704697219344,127,sendOTP,200,OK,Thread Group 1-2,text,true,,279,280,10,10,https://testapi.logiqids.com/v1/user/result/send/otp/,127,0,0
1704697219347,144,sendOTP,200,OK,Thread Group 1-4,text,true,,279,280,10,10,https://testapi.logiqids.com/v1/user/result/send/otp/,144,0,0
1704697219349,151,sendOTP,200,OK,Thread Group 1-5,text,true,,279,280,11,11,https://testapi.logiqids.com/v1/user/result/send/otp/,151,0,0
1704697219260,258,resultValidation,200,OK,Thread Group 1-9,text,true,,299,249,11,11,https://testapi.logiqids.com/v1/user/result/login/validation/,258,0,104
1704697219379,191,sendOTP,200,OK,Thread Group 1-6,text,true,,279,280,11,11,https://testapi.logiqids.com/v1/user/result/send/otp/,191,0,0
1704697219391,181,sendOTP,200,OK,Thread Group 1-3,text,true,,279,280,11,11,https://testapi.logiqids.com/v1/user/result/send/otp/,181,0,0
1704697219396,205,sendOTP,200,OK,Thread Group 1-7,text,true,,279,280,11,11,https://testapi.logiqids.com/v1/user/result/send/otp/,204,0,0
